Experiment (Center),,Experiment (Upper Bound),,Experiment (Lower Bound),,1/8C No Walls,,1/2 W Walls,
X,Y,X,Y,X,Y,X,Y,X,Y
264.4528301886793,0.013885316494217894,264.15094339622635,0.017050623858794887,264.4528301886793,0.01192967133292757,42.2641509433962,0.008571698113207547,43.47169811320754,0.00832982349360925
275.320754716981,0.015337477175897748,275.320754716981,0.018422154595252586,275.62264150943395,0.012514911746804625,45.58490566037736,0.007886381618989656,48.60377358490564,0.007362340231284237
286.18867924528297,0.014934799147900182,286.4905660377358,0.019612233718807062,286.18867924528297,0.012535605599513087,50.11320754716979,0.007201125989044432,54.03773584905659,0.007080356055995132
297.35849056603763,0.016346652465003046,297.35849056603763,0.020701491174680463,297.35849056603763,0.013503910529519172,57.0566037735849,0.00693937918441875,56.45283018867923,0.007544187461959832
308.2264150943396,0.015903651856360317,308.5283018867924,0.018242376749847838,308.5283018867924,0.013625441265976871,59.16981132075472,0.007221743761412051,57.0566037735849,0.008552282410225199
319.39622641509436,0.0073961503347535,319.0943396226414,0.008505006086427267,320.60377358490564,0.006650243457090688,60.075471698113176,0.007866950699939139,59.47169811320754,0.00966127510651248
341.43396226415086,0.004937583688374925,341.43396226415086,0.005522261107729763,341.43396226415086,0.004110970785149118,62.490566037735846,0.008633201460742545,60.98113207547169,0.00964118989653074
374.33962264150944,0.003467468046256847,374.0377358490565,0.003810194765672549,374.33962264150944,0.0031045648204503958,63.39622641509433,0.008673569689592212,63.39622641509433,0.00921792452830189
385.5094339622641,0.0029035149117468025,385.5094339622641,0.0031252891052951925,385.2075471698113,0.002601080340839928,66.71698113207546,0.008330995130858186,67.01886792452828,0.008673752282410227
407.2452830188678,0.0018562233718807074,406.94339622641496,0.002138466220328667,407.2452830188678,0.0017352556299452225,70.33962264150944,0.007927951917224587,70.33962264150944,0.008250532562385879
429.2830188679244,0.0014137857577601956,429.5849056603772,0.0015952525867315888,429.2830188679244,0.0012121728545343886,71.84905660377356,0.007706253804017044,71.84905660377356,0.008734479610468655
,,,,,,74.56603773584905,0.007202358490566038,73.66037735849054,0.010065216068167984
,,,,,,75.77358490566036,0.0074040322580645156,74.86792452830187,0.009883825319537434
,,,,,,77.88679245283018,0.008331558125380403,76.98113207547169,0.009137964090079127
,,,,,,79.69811320754718,0.008815520389531345,77.88679245283018,0.00879526780279976
,,,,,,82.1132075471698,0.00853338405356056,80.30188679245282,0.00865426049908704
,,,,,,86.33962264150941,0.0081303712720633,85.73584905660377,0.008150502130249544
,,,,,,87.84905660377356,0.008049802191113817,86.64150943396226,0.008614257455873402
,,,,,,89.05660377358487,0.009259540474741326,86.64150943396226,0.00915861229458308
,,,,,,89.66037735849056,0.011094248326232502,87.84905660377356,0.010529640900791237
,,,,,,90.56603773584902,0.013473326232501522,87.84905660377356,0.012142544126597689
,,,,,,91.16981132075469,0.014239485696895923,88.45283018867923,0.013815961655508217
,,,,,,92.37735849056602,0.012626643335362142,89.05660377358487,0.013977282410225198
,,,,,,93.88679245283018,0.011255751673767498,91.16981132075469,0.012465292148508824
,,,,,,95.39622641509433,0.009723569689592208,92.37735849056602,0.0113161594643944
,,,,,,98.1132075471698,0.008594674376141205,93.58490566037736,0.010167026780279977
,,,,,,102.33962264150941,0.007284403530127815,96.30188679245282,0.008937325015216067
,,,,,,107.16981132075472,0.0064580340839927,99.01886792452831,0.007989881314668289
,,,,,,108.377358490566,0.006679869141813753,103.24528301886792,0.006921545952525868
,,,,,,110.188679245283,0.007929960438222763,105.35849056603772,0.0065184266585514294
,,,,,,111.69811320754715,0.009301004260499086,106.86792452830187,0.007002373706634205
,,,,,,112.90566037735849,0.010430097382836276,110.79245283018867,0.009099345709068774
,,,,,,113.81132075471695,0.011176110772976262,112.90566037735849,0.011659936092513696
,,,,,,115.01886792452828,0.011901978088861839,113.2075471698113,0.011760757760194767
,,,,,,116.22641509433959,0.010914135727328057,115.92452830188677,0.010490733414485698
,,,,,,118.03773584905656,0.009744872185027391,116.52830188679243,0.010349634814363969
,,,,,,119.2452830188679,0.009240900791235546,118.33962264150944,0.010732790626902007
,,,,,,120.15094339622638,0.009442559342665854,119.84905660377356,0.01079335057821059
,,,,,,122.2641509433962,0.01067250456482045,122.2641509433962,0.010612020693852708
,,,,,,123.77358490566036,0.011680645161290323,126.188679245283,0.010672702373706634
,,,,,,124.37735849056602,0.012285514303104077,129.2075471698113,0.010430919050517346
,,,,,,126.79245283018867,0.012325958612294585,133.13207547169807,0.010169020085209982
